Timestamp,Date,Time_of_Day_Hour,Day_of_Week,Month,Is_Weekend,Students_Present,Ambient_Temperature_C,HVAC_Load_kW,Lighting_Load_kW,Computer_Load_kW,Lab_Equipment_Load_kW,Energy_Usage_kWh
2024-01-01 00:00,2024-01-01,0,0,1,0,38,10.56,55.95,22.12,2.17,0,62.73
2024-01-01 01:00,2024-01-01,1,0,1,0,28,9.5,62.25,16.94,0.0,0,67.76
2024-01-01 02:00,2024-01-01,2,0,1,0,14,11.6,51.07,2.12,0.0,0,46.69
2024-01-01 03:00,2024-01-01,3,0,1,0,7,9.27,71.19,0.19,0.0,0,61.69
2024-01-01 04:00,2024-01-01,4,0,1,0,20,12.69,51.24,0.0,10.24,0,55.37
2024-01-01 05:00,2024-01-01,5,0,1,0,38,12.47,51.46,22.14,6.06,0,58.79
2024-01-01 06:00,2024-01-01,6,0,1,0,18,12.11,51.62,65.77,8.38,0,73.61
2024-01-01 07:00,2024-01-01,7,0,1,0,22,13.6,43.91,59.55,4.13,0,68.49
2024-01-01 08:00,2024-01-01,8,0,1,0,530,16.87,51.03,89.42,64.33,0,126.68
2024-01-01 09:00,2024-01-01,9,0,1,0,287,15.4,46.74,70.41,30.11,0,91.47
2024-01-01 10:00,2024-01-01,10,0,1,0,572,14.62,63.42,86.51,78.37,0,142.72
2024-01-01 11:00,2024-01-01,11,0,1,0,299,14.16,46.72,81.31,41.75,20,114.86
2024-01-01 12:00,2024-01-01,12,0,1,0,559,16.83,50.54,86.5,74.21,0,126.77
2024-01-01 13:00,2024-01-01,13,0,1,0,351,16.26,44.18,77.02,47.83,0,99.5
2024-01-01 14:00,2024-01-01,14,0,1,0,330,16.71,39.43,81.44,37.06,0,96.5
2024-01-01 15:00,2024-01-01,15,0,1,0,349,13.0,59.44,81.84,44.28,0,112.72
2024-01-01 16:00,2024-01-01,16,0,1,0,508,12.81,70.3,92.56,67.96,40,160.22
2024-01-01 17:00,2024-01-01,17,0,1,0,457,15.57,55.55,88.15,60.97,0,125.86
2024-01-01 18:00,2024-01-01,18,0,1,0,127,13.57,48.91,66.39,16.41,0,85.28
2024-01-01 19:00,2024-01-01,19,0,1,0,197,13.1,55.82,67.57,34.12,0,99.13
2024-01-01 20:00,2024-01-01,20,0,1,0,77,10.13,65.18,62.2,12.14,0,89.2
2024-01-01 21:00,2024-01-01,21,0,1,0,169,9.48,69.5,18.84,27.41,0,88.66
2024-01-01 22:00,2024-01-01,22,0,1,0,20,11.96,52.7,0.0,3.46,0,54.4
2024-01-01 23:00,2024-01-01,23,0,1,0,32,11.73,47.59,16.85,2.08,0,53.51
2024-01-02 00:00,2024-01-02,0,1,1,0,11,8.44,67.15,3.51,6.2,0,61.44
2024-01-02 01:00,2024-01-02,1,1,1,0,21,8.25,68.21,17.24,6.25,0,74.08
2024-01-02 02:00,2024-01-02,2,1,1,0,24,10.31,64.15,18.63,4.69,0,70.93
2024-01-02 03:00,2024-01-02,3,1,1,0,26,9.75,63.46,22.67,0.0,0,66.9
2024-01-02 04:00,2024-01-02,4,1,1,0,27,10.34,55.54,23.17,8.38,0,66.23
2024-01-02 05:00,2024-01-02,5,1,1,0,15,10.42,60.38,11.05,0.0,0,56.13
2024-01-02 06:00,2024-01-02,6,1,1,0,14,12.37,51.53,54.83,5.61,0,64.34
